id,name,current_difficulty,target_difficulty,review_note
100,Box Jump (Multiple Response),intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
287,Front Box Jump,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
391,Knee Tuck Jump,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
207,Depth Jump Leap,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
404,Lateral Box Jump,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
731,Split Jump,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
682,Single-Leg Stride Jump,intermediate,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
349,Incline Push-Up Depth Jump,advanced,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
532,Parallel Bar Dip,advanced,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
545,Plyo Push-up,advanced,advanced,CHANGE TO ADVANCED — high impact and/or high strength/control requirement
870,Yoke Walk,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
7,Advanced Kettlebell Windmill,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
42,Barbell Ab Rollout,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
57,Barbell Rollout from Bench,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
216,Double Kettlebell Windmill,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
386,Kettlebell Windmill,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
806,Suspended Fallout,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
30,Axle Deadlift,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
142,Car Deadlift,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
206,Deficit Deadlift,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
300,Glute Ham Raise,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
303,Good Morning,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
304,Good Morning off Pins,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
318,Hanging Bar Good Morning,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
475,Natural Glute Ham Raise,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
547,Power Clean,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
548,Power Clean from Blocks,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
553,Power Stairs,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
704,Smith Machine Hang Power Clean,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
718,Snatch Deadlift,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
719,Snatch Pull,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
800,Sumo Deadlift with Bands,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
801,Sumo Deadlift with Chains,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
17,Alternating Hang Clean,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
212,Double Kettlebell Alternating Hang Clean,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
501,One-Arm Open Palm Kettlebell Clean,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
283,Frog Hops,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
72,Bench Jump,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
169,Clean from Blocks,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
165,Clean Pull,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
242,Dumbbell Seated Box Jump,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
314,Hang Clean,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
315,Hang Clean - Below the Knees,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
321,Heaving Snatch Balance,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
369,Jerk Dip Squat,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
385,Kettlebell Turkish Get-Up (Squat style),intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
424,Linear Depth Jump,advanced,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
480,Olympic Squat,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
552,Power Snatch from Blocks,exclude,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
581,Reverse Band Box Squat,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
716,Snatch,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
717,Snatch Balance,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
723,Speed Box Squat,intermediate,advanced,"CHANGE TO ADVANCED — technical, ballistic, high-impact, or high relative-strength demand"
